strike,bid,ask,lastPrice,mid,volume,impliedVolatility,spot,expiry,trade_date,T,r
786.0,0.19,0.21,0.16,0.2,2.0,0.14063359375,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
787.0,0.18,0.19,0.19,0.185,1.0,0.14063359375,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
788.0,0.15,0.17,0.18,0.16,75.0,0.14038945556640625,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
789.0,0.15,0.16,0.18,0.155,6.0,0.14112187011718752,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
790.0,0.14,0.15,0.15,0.14500000000000002,14.0,0.14185428466796873,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
791.0,0.12,0.14,0.14,0.13,1.0,0.14258669921875,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
792.0,0.11,0.12,0.07,0.11499999999999999,66.0,0.14136600830078128,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
793.0,0.11,0.12,0.06,0.11499999999999999,120.0,0.14331911376953127,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
794.0,0.1,0.12,0.06,0.11,105.0,0.14527221923828126,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
738.0,12.95,13.0,14.1,12.975,10.0,0.18708088317871097,737.0499877929688,2026-07-10,2026-06-09,0.08493150684931507,0.045
739.0,12.41,12.46,12.77,12.435,23.0,0.18567708862304685,737.0499877929688,2026-07-10,2026-06-09,0.08493150684931507,0.045
740.0,11.92,11.97,11.94,11.945,142.0,0.18473105316162108,737.0499877929688,2026-07-10,2026-06-09,0.08493150684931507,0.045
741.0,11.29,11.34,11.81,11.315,6.0,0.18198449859619142,737.0499877929688,2026-07-10,2026-06-09,0.08493150684931507,0.045
742.0,10.81,10.85,10.86,10.83,15.0,0.18076380767822264,737.0499877929688,2026-07-10,2026-06-09,0.08493150684931507,0.045
742.5,10.66,10.71,11.56,10.685,42.0,0.181374153137207,737.0499877929688,2026-07-10,2026-06-09,0.08493150684931507,0.045
743.0,10.4,10.45,11.2,10.425,25.0,0.1805196694946289,737.0499877929688,2026-07-10,2026-06-09,0.08493150684931507,0.045
744.0,9.75,9.81,10.57,9.780000000000001,15.0,0.17719328674316404,737.0499877929688,2026-07-10,2026-06-09,0.08493150684931507,0.045
745.0,9.26,9.31,9.62,9.285,28.0,0.17545380218505857,737.0499877929688,2026-07-10,2026-06-09,0.08493150684931507,0.045
746.0,8.85,8.88,9.96,8.865,7.0,0.1744162149047852,737.0499877929688,2026-07-10,2026-06-09,0.08493150684931507,0.045
